שם עברית,תאריך דגימה,מספר זיהוי,B,BR,CA,CAFFE,CARBO,Cl,DO,DP-P,EC,ECFD,F,HARD,HCO3,K,Mg,NO2,NO3,ORP,PFBS,PFHpA,PFHxA,PFOA,PFOS,PHFD,PO4,SILT,SO4,SODIUM AS,SR,T,TDS,TN-N,TOC,TURB
ירדן-במורד גשר בית זרע,21/12/2020 07:36,31195,,16.2,259.1,,,1596.6,,,,,,,234.0,34.1,89.8,,,,,,,,,,,,155.7,738.5,,,,,,
ירדן-במורד גשר בית זרע,22/01/2019 08:19,31195,,7.99,189.9,,,,,,,,,,246.0,24.5,73.6,,20.4,,,,,,,,,,142.9,463.7,,,,,,
ירדן-במורד גשר בית זרע,22/01/2020 14:45,31195,,11.1,240.5,,,,7.2,,,4.282,,,307.0,27.8,81.8,,18.8,176.5,,,,,,7.88,,,152.0,605.1,,20.7,,,,
ירדן-במורד גשר בית זרע,22/02/2021 07:10,31195,,11.0,202.9,,,,,,,,,,283.0,36.5,73.6,,13.3,,,,,,,,,,155.0,546.2,,,,,,
ירדן-במורד גשר בית זרע,22/02/2021 16:20,31195,,13.0,220.0,,,1263.6,,,,,,,306.0,40.3,78.3,,17.8,,,,,,,,,,179.1,591.7,,,,,,
ירדן-במורד גשר בית זרע,22/03/2021 07:57,31195,,11.2,224.6,,,1276.8,,,,,,,295.0,28.0,81.2,,,,,,,,,,,,118.1,598.1,,,,,,
ירדן-במורד גשר בית זרע,22/04/2019 09:53,31195,,15.15,266.9,,,1358.3,,,,,,,292.0,28.0,85.8,,1.0,,,,,,,,,,156.1,688.2,,,,,,
ירדן-במורד גשר בית זרע,22/06/2020 08:02,31195,,15.3,241.1,,,1545.5,,,,,,,243.0,44.3,83.7,,,,,,,,,,,,162.9,691.2,,,,,,
ירדן-במורד גשר בית זרע,22/07/2019 08:27,31195,,13.21,276.3,,,1438.5,,,,,,,264.0,34.1,92.6,,1.0,,,,,,,,,,146.2,703.1,,,,,,
ירדן-במורד גשר בית זרע,22/07/2019 16:50,31195,,,,,,,5.0,,,6.36,,,,,,,,174.1,,,,,,7.98,,,,,,31.5,,,,
ירדן-במורד גשר בית זרע,22/07/2019 16:52,31195,,13.03,272.6,,,1565.9,,,,,,,246.0,33.0,90.8,,8.8,,,,,,,,,,145.5,690.7,,,,,,
ירדן-במורד גשר בית זרע,22/08/2017 00:00,31195,,,,,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,8.638,4.813,
ירדן-במורד גשר בית זרע,22/08/2017 14:09,31195,,,,,,,3.5,,,5.383,,,,,,,,125.7,,,,,,7.79,,,,,,32.6,,,,
ירדן-במורד גשר בית זרע,22/08/2022 08:18,31195,,16.8,225.8,,,1510.2,,,,,,,258.0,25.8,79.9,,1.0,,,,,,,,,,76.5,590.5,,,,,,
ירדן-במורד גשר בית זרע,22/11/2020 14:09,31195,,,,,,,6.68,,,4.633,,,,,,,,85.4,,,,,,8.3,,,,,,24.8,,,,
ירדן-במורד גשר בית זרע,22/11/2020 14:15,31195,,11.6,214.8,,,1265.2,,,,,,,267.0,40.8,81.3,,12.1,,,,,,,,,,169.7,571.2,,,,,,
ירדן-במורד גשר בית זרע,22/11/2021 08:52,31195,,21.7,250.6,,,1654.1,,,,,,,251.0,29.0,90.3,,,,,,,,,,,,127.3,645.5,,,,,,
ירדן-במורד גשר בית זרע,23/01/2018 00:00,31195,,,248.9,,,1455.0,,,,,,,275.0,33.6,87.4,,12.7,,,,,,,,,,170.7,624.8,,,,,,
ירדן-במורד גשר בית זרע,23/01/2018 14:28,31195,,,,,,,5.5,,,5.058,,,,,,,,169.1,,,,,,7.9,,,,,,22.8,,,,
ירדן-במורד גשר בית זרע,23/03/2020 07:31,31195,,11.2,233.2,,,,,,,,,,264.0,24.7,74.3,,,,,,,,,,,,122.5,555.0,,,,,,
ירדן-במורד גשר בית זרע,23/04/2018 13:06,31195,,,,,,,6.8,,,5.807,,,,,,,,113.5,,,,,,7.9,,,,,,29.4,,,,
ירדן-במורד גשר בית זרע,23/04/2018 14:08,31195,,13.65,249.8,,,1594.9,,,,,,,265.0,33.3,84.8,,11.2,,,,,,,,,,163.1,666.4,,,,,,
ירדן-במורד גשר בית זרע,23/05/2022 00:00,31195,,10.6,209.0,,,,,,,,,,276.0,24.3,79.6,,1.0,,,,,,,,,,102.9,526.5,,,,,,
ירדן-במורד גשר בית זרע,23/06/2021 14:50,31195,,14.4,236.2,,,1569.1,,,,,,,268.0,29.0,88.3,,13.2,,,,,,,,,,157.0,636.1,,,,,,
ירדן-במורד גשר בית זרע,23/08/2020 19:24,31195,,13.0,238.1,,,1382.6,,,,,,,219.0,41.6,80.0,,10.7,,,,,,,,,,147.9,641.0,,,,,,
ירדן-במורד גשר בית זרע,23/08/2021 08:58,31195,,17.5,249.2,,,1623.3,,,,,,,267.0,31.3,91.1,,,,,,,,,,,,130.0,669.5,,,,,,
ירדן-במורד גשר בית זרע,23/09/2019 08:07,31195,,12.22,240.2,,,1309.3,,,,,,,264.0,31.3,83.8,,1.0,,,,,,,,,,116.4,625.5,,,,,,
ירדן-במורד גשר בית זרע,23/11/2020 10:03,31195,,13.3,214.3,,,1275.4,,,,,,,222.0,28.1,82.2,,,,,,,,,,,,147.5,596.8,,,,,,
ירדן-במורד גשר בית זרע,23/11/2022 15:10,31195,,15.2,246.1,,,1559.2,,,,,,,194.0,28.1,88.3,,14.9,,,,,,,,,,161.3,630.0,,,,,,
ירדן-במורד גשר בית זרע,23/12/2018 14:20,31195,,18.74,318.4,,,1687.5,,,,,,,255.0,40.2,103.3,,1.0,,,,,,,,,,170.6,777.0,,,,,,
ירדן-במורד גשר בית זרע,23/12/2019 08:40,31195,,14.7,275.5,,,1686.4,,,,,,,308.0,33.3,93.9,,,,,,,,,,,,172.9,744.1,,,,,,
ירדן-במורד גשר בית זרע,23/12/2020 15:57,31195,,,,,,,6.16,,,5.175,,,,,,,,132.0,,,,,,8.16,,,,,,23.6,,,,
ירדן-במורד גשר בית זרע,23/12/2020 16:00,31195,,15.7,250.4,,,1593.5,,,,,,,268.0,31.7,85.7,,18.3,,,,,,,,,,185.4,683.9,,,,,,
ירדן-במורד גשר בית זרע,24/01/2022 08:34,31195,,15.3,277.4,,,1678.5,,,,,,,249.0,33.3,99.7,,1.0,,,,,,,,,,155.0,698.1,,,,,,
ירדן-במורד גשר בית זרע,24/02/2020 07:50,31195,,12.4,250.5,,,1419.8,,,,,,,286.0,29.4,82.7,,,,,,,,,,,,136.4,630.9,,,,,,
ירדן-במורד גשר בית זרע,24/02/2020 16:30,31195,,13.2,254.2,,,1454.4,,,,,,,289.0,29.7,84.3,,16.4,,,,,,,,,,164.6,645.3,,,,,,
ירדן-במורד גשר בית זרע,24/02/2020 16:39,31195,,,,,,,6.5,,,4.982,,,,,,,,,,,,,,,,,,,,22.9,,,,
ירדן-במורד גשר בית זרע,24/05/2021 11:05,31195,,20.4,253.2,,,1661.1,,,,,,,273.0,30.5,90.0,,,,,,,,,,,,160.0,680.6,,,,,,
ירדן-במורד גשר בית זרע,24/06/2019 09:16,31195,,14.73,275.6,,,1509.0,,,,,,,259.0,34.1,92.9,,1.0,,,,,,,,,,157.6,745.3,,,,,,
ירדן-במורד גשר בית זרע,24/10/2022 07:41,31195,,19.4,254.5,,,1693.1,,,,,,,211.0,30.8,88.7,,1.0,,,,,,,,,,134.9,660.3,,,,,,
ירדן-במורד גשר בית זרע,24/11/2019 14:40,31195,,13.01,285.8,,,1561.1,,,,,,,278.0,36.2,97.8,,13.4,,,,,,,,,,173.1,752.1,,,,,,
ירדן-במורד גשר בית זרע,24/11/2019 14:47,31195,,,,,,,6.2,,,5.294,,,,,,,,170.4,,,,,,8.1,,,,,,24.7,,,,
ירדן-במורד גשר בית זרע,24/12/2018 14:50,31195,,13.13,269.7,,,1317.4,,,,,,,276.0,34.8,95.7,,11.8,,,,,,,,,,157.1,697.6,,,,,,
ירדן-במורד גשר בית זרע,24/12/2018 14:51,31195,,,,,,,6.1,,,5.166,,,,,,,,223.0,,,,,,8.02,,,,,,23.7,,,,
ירדן-במורד גשר בית זרע,25/01/2019 14:30,31195,,,,,,,,,,,,,246.0,,,,1.0,,,,,,,,,,,,,,,,,
ירדן-במורד גשר בית זרע,25/01/2021 07:10,31195,,13.0,234.0,,,1219.4,,,,,,,273.0,23.4,80.4,,14.4,,,,,,,,,,166.6,576.4,,,,,,
ירדן-במורד גשר בית זרע,25/02/2018 00:00,31195,,,276.2,,,1625.7,,,,,,,289.0,34.5,86.9,,13.8,,,,,,,,,,171.2,704.5,,,,,,
ירדן-במורד גשר בית זרע,25/02/2018 14:25,31195,,,,,,,5.9,,,5.75,,,,,,,,121.1,,,,,,7.84,,,,,,25.4,,,,
ירדן-במורד גשר בית זרע,25/03/2019 08:53,31195,,14.83,271.3,,,1420.1,,,,,,,289.0,31.1,96.2,,1.0,,,,,,,,,,182.8,691.0,,,,,,
ירדן-במורד גשר בית זרע,25/04/2022 15:16,31195,,,,,,,7.2,,,4.775,,,,,,,,158.0,,,,,,8.0,,,,,,27.7,,,,
ירדן-במורד גשר בית זרע,25/04/2022 15:25,31195,,12.7,236.1,,,1397.4,,,,,,,227.0,25.3,80.7,,11.1,,,,,,,,,,135.4,582.5,,,,,,
ירדן-במורד גשר בית זרע,25/05/2020 07:58,31195,,13.8,272.5,,,1312.2,,,,,,,274.0,28.1,82.6,,,,,,,,,,,,133.3,610.8,,,,,,
ירדן-במורד גשר בית זרע,25/07/2017 00:00,31195,,10.273,254.403,,,1336.332,,,,,,,240.0,32.585,82.176,,11.199,,,,,,,,,,102.399,581.55,,,,6.484,3.829,
ירדן-במורד גשר בית זרע,25/07/2017 13:49,31195,,,,,,,3.6,,,5.78,,,,,,,,68.8,,,,,,7.68,,,,,,34.0,,,,
ירדן-במורד גשר בית זרע,25/07/2022 08:17,31195,,16.6,242.4,,,1304.6,,,,,,,268.0,30.2,87.3,,1.0,,,,,,,,,,92.1,627.9,,,,,,
ירדן-במורד גשר בית זרע,25/10/2021 08:01,31195,,22.7,242.7,,,1594.0,,,,,,,268.0,28.7,88.4,,,,,,,,,,,,114.2,623.2,,,,,,
ירדן-במורד גשר בית זרע,25/10/2022 14:30,31195,,14.3,240.5,,,1406.9,,,,,,,192.0,29.4,84.6,,13.4,,,,,,,,,,138.7,622.9,,,,,,
ירדן-במורד גשר בית זרע,25/11/2019 08:09,31195,,11.6,253.4,,,1522.3,,,,,,,284.0,31.2,89.2,,,,,,,,,,,,161.9,698.9,,,,,,
ירדן-במורד גשר בית זרע,26/02/2019 08:35,31195,,9.47,159.0,,,,,,,,,,245.0,23.6,67.6,,1.0,,,,,,,,,,123.9,356.6,,,,,,
ירדן-במורד גשר בית זרע,26/02/2019 12:15,31195,,,,,,,,,,,,,200.0,,,,1.0,,,,,,,,,,,,,,,,,
ירדן-במורד גשר בית זרע,26/04/2021 08:14,31195,,17.0,259.7,,,1567.7,,,,,,,308.0,29.6,88.6,,,,,,,,,,,,139.0,656.1,,,,,,
ירדן-במורד גשר בית זרע,26/07/2021 07:20,31195,,17.0,230.6,,,1500.8,,,,,,,265.0,27.1,81.3,,,,,,,,,,,,125.0,610.1,,,,,,
ירדן-במורד גשר בית זרע,26/08/2019 08:12,31195,,13.72,284.9,,,1625.3,,,,,,,269.0,37.8,95.9,,10.1,,,,,,,,,,156.0,758.9,,,,,,
ירדן-במורד גשר בית זרע,26/09/2022 07:50,31195,,15.2,232.0,,,1453.1,,,,,,,215.0,28.8,83.7,,1.0,,,,,,,,,,122.8,614.8,,,,,,
ירדן-במורד גשר בית זרע,26/10/2020 10:03,31195,,14.0,253.0,,,1513.7,,,,,,,237.0,48.0,87.0,,7.8,,,,,,,,,,162.6,680.2,,,,,,
ירדן-במורד גשר בית זרע,27/01/2020 06:58,31195,,12.8,247.3,,,1340.5,,,,,,,320.0,28.0,82.7,,,,,,,,,,,,156.7,612.5,,,,,,
ירדן-במורד גשר בית זרע,27/01/2021 16:54,31195,,,,,,,6.42,,,4.441,,,,,,,,181.8,,,,,,6.95,,,,,,21.6,,,,
ירדן-במורד גשר בית זרע,27/01/2021 17:00,31195,,14.3,233.6,,,1262.9,,,,,,,290.0,24.4,78.9,,15.5,,,,,,,,,,165.7,583.5,,,,,,
ירדן-במורד גשר בית זרע,27/04/2020 08:53,31195,,14.9,288.4,,,1465.3,,,,,,,288.0,44.6,84.4,,,,,,,,,,,,137.0,685.7,,,,,,
ירדן-במורד גשר בית זרע,27/05/2019 09:14,31195,,15.99,274.0,,,1458.8,,,,,,,260.0,29.0,89.2,,1.0,,,,,,,,,,148.7,719.2,,,,,,
ירדן-במורד גשר בית זרע,27/06/2022 08:20,31195,,11.3,208.6,,,1356.1,,,,,,,225.0,25.8,79.9,,1.0,,,,,,,,,,132.0,549.4,,,,,,
ירדן-במורד גשר בית זרע,27/07/2020 08:03,31195,,14.5,247.5,,,1520.9,,,,,,,296.0,42.5,80.3,,,,,,,,,,,,141.0,675.4,,,,,,
ירדן-במורד גשר בית זרע,27/09/2021 08:00,31195,,16.5,251.9,,,1585.7,,,,,,,262.0,29.8,88.4,,,,,,,,,,,,146.0,665.4,,,,,,
ירדן-במורד גשר בית זרע,27/12/2021 08:33,31195,,13.5,246.9,,,1533.6,,,,,,,263.0,31.5,90.1,,1.0,,,,,,,,,,136.0,637.5,,,,,,
ירדן-במורד גשר בית זרע,28/01/2019 15:45,31195,,14.02,272.4,,,1383.2,5.3,,,5.067,,,285.0,35.3,94.2,,15.5,220.4,,,,,,7.91,,,174.4,681.1,,21.9,,,,
ירדן-במורד גשר בית זרע,28/02/2022 07:40,31195,,15.2,258.5,,,1637.2,,,,,,,281.0,28.3,89.4,,1.0,,,,,,,,,,133.1,641.0,,,,,,
ירדן-במורד גשר בית זרע,28/03/2022 09:05,31195,,14.4,256.1,,,1523.5,,,,,,,268.0,27.9,87.0,,1.0,,,,,,,,,,135.2,638.0,,,,,,
ירדן-במורד גשר בית זרע,28/05/2019 15:58,31195,,,,,,,4.7,,,6.11,,,,,,,,109.2,,,,,,7.95,,,,,,30.9,,,,
ירדן-במורד גשר בית זרע,28/05/2019 16:00,31195,,13.04,277.9,,,1562.1,,,,,,,247.0,30.2,91.4,,9.6,,,,,,,,,,154.6,710.3,,,,,,
ירדן-במורד גשר בית זרע,28/06/2021 11:06,31195,,14.5,253.0,,,1560.9,,,,,,,273.0,29.5,87.9,,,,,,,,,,,,142.0,680.5,,,,,,
ירדן-במורד גשר בית זרע,28/09/2020 15:56,31195,,12.6,252.2,,,1397.1,,,,,,,214.0,37.6,75.4,,,,,,,,,,,,115.4,601.7,,,,,,
ירדן-במורד גשר בית זרע,28/10/2019 07:07,31195,,14.47,271.9,,,1742.7,,,,,,,257.0,31.8,91.1,,1.0,,,,,,,,,,150.2,695.1,,,,,,
ירדן-במורד גשר בית זרע,28/11/2021 14:44,31195,,,,,,,,,,5.186,,,,,,,,131.2,,,,,,8.02,,,,,,25.1,,,,
ירדן-במורד גשר בית זרע,28/11/2021 14:45,31195,,17.1,251.7,,,1645.3,,,,,,,243.0,29.5,90.2,,10.9,,,,,,,,,,150.6,646.6,,,,,,
ירדן-במורד גשר בית זרע,28/12/2020 07:35,31195,,15.9,269.3,,,1554.797,,,,,,,296.0,29.5,91.7,,,,,,,,,,,,181.2,709.9,,,,,,
ירדן-במורד גשר בית זרע,29/01/2019 08:34,31195,,13.71,286.1,,,1414.8,,,,,,,274.0,35.9,92.5,,15.6,,,,,,,,,,160.9,691.2,,,,,,
ירדן-במורד גשר בית זרע,29/01/2023 14:10,31195,,13.71,275.0,,,1409.3,,,,,,,264.0,30.1,82.6,,12.4,,,,,,,,,,147.6,704.0,,,,,,
ירדן-במורד גשר בית זרע,29/03/2021 08:57,31195,,11.5,248.6,,,1328.7,,,,,,,300.0,30.4,88.2,,,,,,,,,,,,116.7,651.5,,,,,,
ירדן-במורד גשר בית זרע,29/04/2019 09:53,31195,,16.24,289.4,,,1449.4,,,,,,,301.0,30.4,90.9,,1.0,,,,,,,,,,158.9,720.1,,,,,,
ירדן-במורד גשר בית זרע,29/05/2022 00:00,31195,,11.6,211.8,,,1352.1,,,,,,,201.0,26.0,82.0,,1.0,,,,,,,,,,141.1,564.7,,,,,,
ירדן-במורד גשר בית זרע,29/06/2020 08:02,31195,,15.9,271.6,,,1600.6,,,,,,,348.0,45.7,84.8,,,,,,,,,,,,111.0,711.3,,,,,,
ירדן-במורד גשר בית זרע,29/08/2022 07:50,31195,,19.1,245.6,,,1587.9,,,,,,,205.0,27.2,84.8,,1.0,,,,,,,,,,139.9,635.9,,,,,,
ירדן-במורד גשר בית זרע,29/10/2019 16:20,31195,,14.53,283.7,,,1575.9,,,,,,,263.0,36.2,92.9,,12.7,,,,,,,,,,164.8,712.1,,,,,,
ירדן-במורד גשר בית זרע,29/10/2019 16:22,31195,,,,,,,4.7,,,5.984,,,,,,,,178.1,,,,,,7.99,,,,,,27.1,,,,
ירדן-במורד גשר בית זרע,29/11/2017 00:00,31195,,,293.5,,,1650.7,,,,,,,265.0,36.9,98.3,,11.0,,,,,,,,,,170.3,724.6,,,,,,
ירדן-במורד גשר בית זרע,29/11/2017 13:54,31195,,,,,,,6.5,,,5.806,,,,,,,,166.8,,,,,,7.92,,,,,,24.6,,,,
ירדן-במורד גשר בית זרע,29/11/2021 08:52,31195,,14.4,247.6,,,1613.5,,,,,,,237.0,31.5,90.3,,1.0,,,,,,,,,,137.2,652.4,,,,,,
ירדן-במורד גשר בית זרע,30/03/2020 08:53,31195,,12.6,245.9,,,1398.8,,,,,,,274.0,26.1,78.1,,,,,,,,,,,,150.1,599.6,,,,,,
ירדן-במורד גשר בית זרע,30/05/2022 08:05,31195,,12.2,216.2,,,1400.6,,,,,,,220.0,26.4,81.2,,1.0,,,,,,,,,,136.9,549.4,,,,,,
ירדן-במורד גשר בית זרע,30/08/2020 19:24,31195,,16.2,275.6,,,1628.5,,,,,,,255.0,46.7,88.4,,,,,,,,,,,,135.9,700.4,,,,,,
ירדן-במורד גשר בית זרע,30/08/2021 08:58,31195,,16.8,237.9,,,1478.0,,,,,,,294.0,27.7,83.4,,,,,,,,,,,,130.0,616.2,,,,,,
ירדן-במורד גשר בית זרע,30/09/2019 08:07,31195,,12.68,231.9,,,1493.3,,,,,,,257.0,27.4,79.7,,1.0,,,,,,,,,,127.8,589.2,,,,,,
ירדן-במורד גשר בית זרע,30/10/2017 10:31,31195,,,,,,,5.9,,,5.479,,,,,,,,153.2,,,,,,7.8,,,,,,25.8,,,,
ירדן-במורד גשר בית זרע,30/11/2020 10:05,31195,,14.5,266.9,,,1727.5,,,,,,,259.0,34.5,95.3,,,,,,,,,,,,170.0,750.9,,,,,,
ירדן-במורד גשר בית זרע,30/12/2018 14:21,31195,,14.53,280.4,,,1440.5,,,,,,,273.0,34.9,96.3,,1.0,,,,,,,,,,162.0,701.5,,,,,,
ירדן-במורד גשר בית זרע,30/12/2019 08:10,31195,,13.5,279.3,,,1520.8,,,,,,,309.0,33.2,96.1,,,,,,,,,,,,159.3,748.5,,,,,,
ירדן-במורד גשר בית זרע,31/01/2022 07:40,31195,,13.6,248.9,,,1478.2,,,,,,,243.0,27.5,90.2,,12.3,,,,,,,,,,149.4,618.4,,,,,,
ירדן-במורד גשר בית זרע,31/03/2020 16:05,31195,,11.8,241.3,,,1338.8,,,,,,,282.0,26.5,77.2,,12.2,,,,,,,,,,147.8,593.8,,,,,,
ירדן-במורד גשר בית זרע,31/03/2020 16:08,31195,,,,,,,5.7,,,5.143,,,,,,,,210.0,,,,,,7.94,,,,,,24.7,,,,
ירדן-במורד גשר בית זרע,31/05/2021 11:05,31195,,15.5,263.4,,,1644.2,,,,,,,279.0,31.2,89.4,,,,,,,,,,,,144.0,666.8,,,,,,
ירדן-במורד גשר בית זרע,31/10/2022 06:41,31195,,15.9,256.0,,,1590.9,,,,,,,236.0,29.4,90.7,,1.0,,,,,,,,,,122.7,652.0,,,,,,
ירדן-במעלה גשר אריק,01/02/2023 00:00,30185,,0.0,59.3,,,17.453,,,,,,,203.0,,11.0,,9.06,,,,,,,,,,17.874,13.0,,,,2.41,2.691,
ירדן-במעלה גשר אריק,03/05/2017 00:00,30185,,,60.3,,,12.6,,,,,,,203.3,1.3,9.5,,5.9,,,,,,,,,,19.5,10.6,,,,,,
ירדן-במעלה גשר אריק,03/11/2020 12:00,30185,,,61.4,,,9.5,,,,,,,231.0,1.3,10.0,,5.5,,,,,,,,,,12.6,11.6,,,,,,
ירדן-במעלה גשר אריק,06/11/2019 12:05,30185,,,54.5,,,10.5,,,,,,,209.0,1.2,8.9,,6.2,,,,,,,,,,,11.1,,,,,,
ירדן-במעלה גשר אריק,07/04/2020 10:50,30185,,0.25,67.5,,,12.4,,,,,,,252.0,1.3,9.6,,6.8,,,,,,,,,,,13.3,,,,,,
ירדן-במעלה גשר אריק,08/01/2019 14:05,30185,,,48.2,,,11.8,,,,,,,170.0,,7.8,,14.2,,,,,,,,,,16.3,9.3,,,,,,
ירדן-במעלה גשר אריק,13/12/2016 13:55,30185,,,67.7,,,15.9,,,,,,,229.0,2.0,11.7,,8.5,,,,,,,,,,36.9,15.3,,,,,,
ירדן-במעלה גשר אריק,16/05/2018 15:10,30185,,,53.7,,,14.8,,,,,,,207.0,1.4,10.2,,6.1,,,,,,,,,,27.7,15.3,,,,,,
ירדן-במעלה גשר אריק,18/02/2018 14:25,30185,,,60.5,,,16.9,,,,,,,205.0,3.4,9.2,,13.8,,,,,,,,,,23.1,15.2,,,,,,
ירדן-במעלה גשר אריק,26/01/2018 16:10,30185,,,51.2,,,18.1,,,,,,,169.0,5.9,9.4,,18.8,,,,,,,,,,20.1,16.6,,,,,,
ירדן-במעלה גשר אריק,26/12/2019 10:15,30185,,,60.8,,,19.1,,,,,,,232.0,,11.6,,12.7,,,,,,,,,,,15.8,,,,,,
ירדן-במעלה גשר אריק,31/10/2018 08:35,30185,,,66.2,,,15.6,,,,,,,230.0,,12.8,,7.6,,,,,,,,,,32.2,13.9,,,,,,
ירדן-נווה אור,03/04/2017 00:00,34195,,,244.8,,,1604.5,,,,,,,297.1,54.9,119.7,,17.5,,,,,,,,,,335.9,725.4,,,,,,
ירדן-נווה אור,04/09/2019 10:14,34195,,,,,,,5.3,,,6.256,,,,,,,,145.5,,,,,,7.8,,,,,,28.6,,,,
ירדן-נווה אור,04/09/2019 10:15,34195,,12.64,281.3,,,1626.0,,,,,,,301.0,38.5,118.4,,11.0,,,,,,,,,,219.3,791.3,,,,,,
ירדן-נווה אור,07/06/2017 00:00,34195,,,239.3,,,1639.0,,,,,,,268.0,37.1,112.0,,19.9,,,,,,,,,,307.1,699.8,,,,5.1,4.45,
ירדן-נווה אור,07/06/2017 10:45,34195,,,,,,,6.8,,,5.686,,,,,,,,194.6,,,,,,7.78,,,,,,27.4,,,,
ירדן-נווה אור,09/02/2017 11:15,34195,,,236.2,,,1537.3,,,,,,,331.0,47.8,113.0,,32.8,,,,,,,,,,395.5,720.7,,,,,,
ירדן-נווה אור,11/05/2017 00:00,34195,,,279.4,,,1853.5,,,,,,,308.0,59.4,132.0,,21.8,,,,,,,,,,285.5,788.6,,,,7.0,4.511,
ירדן-נווה אור,11/05/2017 09:45,34195,,,,,,,6.2,,,6.16,,,,,,,,206.2,,,,,,7.81,,,,,,26.2,,,,
ירדן-נווה אור,11/10/2021 10:04,34195,,,,,,,,,,5.17,,,,,,,,121.0,,,,,,8.13,,,,,,25.0,,,,
ירדן-נווה אור,11/10/2021 10:05,34195,,15.7,248.4,,,1565.8,,,,,,,291.0,31.3,102.6,,,,,,,,,,,,272.0,682.4,,,,,,
ירדן-נווה אור,13/03/2017 10:15,34195,,,293.3,,,1621.4,,,,,,,306.0,38.9,125.9,,26.8,,,,,,,,,,283.3,708.1,,,,,,
ירדן-נווה אור,13/03/2022 09:35,34195,,12.1,222.2,,,1385.0,,,,,,,290.0,41.1,95.4,,19.1,,,,,,,,,,227.4,563.3,,,,,,
ירדן-נווה אור,13/03/2022 09:36,34195,,,,,,,8.29,,,3.875,,,,,,,,130.5,,,,,,8.18,,,,,,15.5,,,,
ירדן-נווה אור,13/05/2018 00:00,34195,,16.1,269.1,,,1736.6,,,,,,,325.0,37.7,125.5,,11.0,,,,,,,,,,308.8,770.4,,,,,,
ירדן-נווה אור,13/05/2018 10:26,34195,,,,,,,6.5,,,5.731,,,,,,,,99.7,,,,,,7.97,,,,,,24.9,,,,
ירדן-נווה אור,13/08/2018 10:20,34195,,,277.6,,,1646.9,,,,,,,305.0,38.6,110.8,,11.1,,,,,,,,,,237.4,794.2,,,,,,
ירדן-נווה אור,13/08/2018 10:32,34195,,,,,,,5.1,,,6.68,,,,,,,,149.4,,,,,,7.78,,,,,,29.8,,,,
ירדן-נווה אור,13/09/2018 10:39,34195,,,,,,,4.6,,,6.098,,,,,,,,78.4,,,,,,7.9,,,,,,28.9,,,,
ירדן-נווה אור,13/09/2018 11:00,34195,,,270.1,,,1519.8,,,,,,,297.0,37.0,114.2,,10.5,,,,,,,,,,244.4,753.9,,,,,,
ירדן-נווה אור,13/11/2018 10:26,34195,,,,,,,6.5,,,5.032,,,,,,,,149.5,,,,,,8.03,,,,,,20.0,,,,
ירדן-נווה אור,13/11/2018 10:28,34195,,13.25,260.3,,,1505.9,,,,,,,298.0,35.8,112.4,,10.9,,,,,,,,,,230.6,716.1,,,,,,
ירדן-נווה אור,14/09/2022 08:55,34195,,16.4,240.6,,,1544.5,,,,,,,234.0,28.8,96.7,,10.5,,,,,,,,,,188.0,645.4,,,,,,
ירדן-נווה אור,14/10/2018 10:00,34195,,14.56,282.0,,,1485.6,,,,,,,307.0,39.0,113.5,,10.9,,,,,,,,,,234.8,763.0,,,,,,
ירדן-נווה אור,14/10/2018 10:04,34195,,,,,,,5.7,,,5.728,,,,,,,,78.0,,,,,,7.94,,,,,,24.5,,,,
ירדן-נווה אור,16/04/2019 11:40,34195,,10.96,268.5,,,1318.8,,,,,,,345.0,52.0,112.8,,20.8,,,,,,,,,,303.8,678.6,,,,,,
ירדן-נווה אור,16/04/2019 11:55,34195,,,,,,,6.4,,,5.209,,,,,,,,109.6,,,,,,7.95,,,,,,21.6,,,,
ירדן-נווה אור,16/07/2018 00:00,34195,,,270.3,,,1646.9,,,,,,,286.0,37.9,111.9,,7.7,,,,,,,,,,226.1,759.9,,,,,,
ירדן-נווה אור,16/07/2018 08:57,34195,,,,,,,4.1,,,6.478,,,,,,,,75.0,,,,,,7.87,,,,,,29.1,,,,
ירדן-נווה אור,16/08/2020 10:10,34195,,14.2,254.9,,,1601.4,,,,,,,312.0,47.8,103.2,,14.6,,,,,,,,,,257.6,714.7,,,,,,
ירדן-נווה אור,16/08/2020 10:12,34195,,,,,,,5.2,,,6.352,,,,,,,,98.5,,,,,,7.96,,,,,,30.0,,,,
ירדן-נווה אור,16/08/2022 09:25,34195,,11.0,252.6,,,1546.1,,,,,,,250.0,31.9,102.3,,,,,,,,,,,,186.4,671.6,,,,,,
ירדן-נווה אור,17/09/2017 00:00,34195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.399,3.733,
ירדן-נווה אור,17/09/2017 11:56,34195,,,,,,,5.3,,,5.65,,,,,,,,216.7,,,,,,7.66,,,,,,29.1,,,,
ירדן-נווה אור,17/09/2017 12:00,34195,,,231.8,,,1431.0,,,,,,,283.0,34.5,107.5,,10.6,,,,,,,,,,258.9,610.4,,,,,,
ירדן-נווה אור,17/12/2019 10:40,34195,,12.8,280.7,,,1524.3,8.9,,,4.724,,,339.0,35.8,123.6,,12.4,125.2,,,,,,8.19,,,268.2,793.2,,17.0,,,,
